campaign_id,name,total_budget,duration_days,Click,Comment,Impression,Like,Purchase,Share,ctr,engagement_rate,conversion_rate,cost_per_purchase
15,Campaign_15_Launch,85407.23,82,1001,89,8441,290,42,49,0.11858784504205663,0.05070489278521502,0.04195804195804196,2033.5054761904762
17,Campaign_17_Launch,86675.92,87,1646,180,13506,470,91,91,0.12187176069894862,0.054864504664593514,0.05528554070473876,952.4826373626373
18,Campaign_18_Q3,48832.61,57,595,67,5041,187,21,28,0.11803213648085698,0.055941281491767504,0.03529411764705882,2325.362380952381
19,Campaign_19_Winter,33182.45,70,419,50,3393,113,14,19,0.12348953728264073,0.05363984674329502,0.03341288782816229,2370.1749999999997
20,Campaign_20_Winter,98904.66,90,1658,156,13607,459,73,72,0.12184904828397149,0.05048871904166973,0.04402895054282268,1354.8583561643836
21,Campaign_21_Winter,37290.81,64,811,84,6718,244,49,36,0.12072045251562966,0.054182792497767196,0.06041923551171394,761.0369387755102
22,Campaign_22_Q3,35743.4,36,1084,101,8513,329,51,42,0.12733466463056503,0.05544461411958181,0.0470479704797048,700.8509803921569
23,Campaign_23_Winter,26001.67,84,605,62,5011,181,42,35,0.12073438435442027,0.05547794851327081,0.06942148760330578,619.087380952381
24,Campaign_24_Summer,56692.87,54,1573,159,13638,451,81,87,0.11533949259422202,0.05110720046927702,0.05149396058486968,699.911975308642
25,Campaign_25_Winter,52725.49,89,998,100,8666,314,52,48,0.11516270482344795,0.05331179321486268,0.052104208416833664,1013.9517307692307
26,Campaign_26_Winter,44538.87,77,564,63,5124,199,37,28,0.11007025761124122,0.05659640905542545,0.06560283687943262,1203.7532432432433
27,Campaign_27_Q3,12986.3,48,393,40,3323,128,33,22,0.11826662654228107,0.05717724947336744,0.08396946564885496,393.5242424242424
28,Campaign_28_Winter,32844.79,52,608,75,5137,160,30,29,0.11835701771461943,0.05139186295503212,0.049342105263157895,1094.8263333333334
29,Campaign_29_Winter,19773.66,82,1424,136,11704,421,58,59,0.12166780587833219,0.05263157894736842,0.04073033707865169,340.9251724137931
30,Campaign_30_Winter,73911.29,74,836,79,6780,232,42,38,0.12330383480825959,0.05147492625368732,0.050239234449760764,1759.792619047619
31,Campaign_31_Summer,72208.34,56,589,65,5035,187,42,26,0.1169811320754717,0.05521350546176763,0.07130730050933787,1719.2461904761903
32,Campaign_32_Summer,81744.53,43,801,82,6936,228,27,44,0.11548442906574395,0.05103806228373702,0.033707865168539325,3027.575185185185
33,Campaign_33_Summer,59264.68,87,1397,156,12043,409,85,75,0.1160009964294611,0.0531429045918791,0.06084466714387974,697.2315294117647
34,Campaign_34_Winter,26104.3,60,1241,105,10205,348,68,54,0.12160705536501715,0.049681528662420385,0.0547945205479452,383.88676470588234
35,Campaign_35_Launch,71626.83,81,199,22,1686,46,11,7,0.11803084223013048,0.04448398576512456,0.05527638190954774,6511.53
36,Campaign_36_Q3,58801.99,67,409,45,3424,113,10,18,0.11945093457943926,0.0514018691588785,0.02444987775061125,5880.199
37,Campaign_37_Launch,46445.2,75,1176,120,10223,348,57,65,0.11503472561870293,0.05213733737650396,0.04846938775510204,814.8280701754386
38,Campaign_38_Q3,71038.28,36,1593,176,13425,495,96,89,0.11865921787709498,0.05661080074487896,0.060263653483992465,739.9820833333333
39,Campaign_39_Q3,55638.18,70,639,61,5162,181,27,29,0.1237892289810151,0.05249903138318481,0.04225352112676056,2060.673333333333
40,Campaign_40_Summer,53936.41,47,823,84,6686,266,38,42,0.12309303021238409,0.058629973078073584,0.046172539489671933,1419.3792105263158
41,Campaign_41_Winter,85220.35,71,605,72,5166,162,35,23,0.11711188540456834,0.04974835462640341,0.05785123966942149,2434.867142857143
42,Campaign_42_Summer,7918.04,47,1596,157,13671,465,67,74,0.11674347158218126,0.05091068685538731,0.041979949874686714,118.17970149253732
44,Campaign_44_Q3,15914.87,70,794,83,6766,251,39,39,0.11735146319834466,0.05512858409695536,0.0491183879093199,408.07358974358976
45,Campaign_45_Summer,53303.55,71,352,32,3343,112,19,18,0.1052946455279689,0.048459467544122045,0.05397727272727273,2805.4500000000003
46,Campaign_46_Winter,94023.76,89,965,111,8517,308,36,58,0.11330280615240108,0.05600563578724903,0.03730569948186528,2611.771111111111
47,Campaign_47_Launch,69493.36,78,1198,136,10276,365,63,55,0.11658232775398988,0.0541066562864928,0.052587646076794656,1103.0692063492063
48,Campaign_48_Winter,13842.07,54,400,38,3370,117,17,15,0.11869436201780416,0.050445103857566766,0.0425,814.2394117647059
49,Campaign_49_Winter,28962.34,85,382,38,3430,119,18,17,0.11137026239067055,0.05072886297376093,0.04712041884816754,1609.0188888888888
50,Campaign_50_Summer,47274.7,32,179,13,1707,91,8,7,0.1048623315758641,0.06502636203866433,0.0446927374301676,5909.3375
